,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
135,399366,能源金属,2291.200439453125,100.0,2.0,,指数板块,指数,0,0,NYJS
136,399367,1000地产,3800.830078125,100.0,2.0,,指数板块,指数,0,0,1DC
137,399368,国证军工,7859.8876953125,100.0,2.0,,指数板块,指数,0,0,GZJG
138,399369,国证责任,1530.2305908203125,100.0,2.0,,指数板块,指数,0,0,GZZR
139,399370,国证成长,5028.99560546875,100.0,2.0,,指数板块,指数,0,0,GZCZ
140,399371,国证价值,5790.09423828125,100.0,2.0,,指数板块,指数,0,0,GZJZ
141,399372,大盘成长,5213.73193359375,100.0,2.0,,指数板块,指数,0,0,DPCZ
142,399373,大盘价值,6634.400390625,100.0,2.0,,指数板块,指数,0,0,DPJZ
143,399374,中盘成长,5004.33544921875,100.0,2.0,,指数板块,指数,0,0,ZPCZ
144,399375,中盘价值,5087.2255859375,100.0,2.0,,指数板块,指数,0,0,ZPJZ
145,399376,小盘成长,5649.38525390625,100.0,2.0,,指数板块,指数,0,0,XPCZ
146,399377,小盘价值,6545.6279296875,100.0,2.0,,指数板块,指数,0,0,XPJZ
147,399378,ESG 300,2582.945068359375,100.0,2.0,,指数板块,指数,0,0,E
148,399379,国证基金,7720.71142578125,100.0,2.0,,指数板块,指数,0,0,GZJJ
149,399380,国证ETF,1517.68017578125,100.0,2.0,,指数板块,指数,0,0,GZE
150,399381,1000能源,2697.293701171875,100.0,2.0,,指数板块,指数,0,0,1NY
151,399382,1000材料,3020.945068359375,100.0,2.0,,指数板块,指数,0,0,1CL
152,399383,1000工业,2891.52197265625,100.0,2.0,,指数板块,指数,0,0,1GY
153,399384,1000可选,3627.711181640625,100.0,2.0,,指数板块,指数,0,0,1KX
154,399385,1000消费,13920.6962890625,100.0,2.0,,指数板块,指数,0,0,1XF
155,399386,1000医药,7803.63720703125,100.0,2.0,,指数板块,指数,0,0,1YY
156,399387,1000金融,4263.1142578125,100.0,2.0,,指数板块,指数,0,0,1JR
157,399388,1000信息,4434.693359375,100.0,2.0,,指数板块,指数,0,0,1XX
