code,tradeStatus,code_name,code2,market2,market,type,kind,type2
601108,1,财通证券,sh.601108,sh,1,证券,A股股票,1
601111,1,中国国航,sh.601111,sh,1,证券,A股股票,1
601113,1,华鼎股份,sh.601113,sh,1,证券,A股股票,1
601116,1,三江购物,sh.601116,sh,1,证券,A股股票,1
601117,1,中国化学,sh.601117,sh,1,证券,A股股票,1
601118,1,海南橡胶,sh.601118,sh,1,证券,A股股票,1
601126,1,四方股份,sh.601126,sh,1,证券,A股股票,1
601127,1,赛力斯,sh.601127,sh,1,证券,A股股票,1
601128,1,常熟银行,sh.601128,sh,1,证券,A股股票,1
601136,1,,sh.601136,sh,1,证券,A股股票,1
601137,1,博威合金,sh.601137,sh,1,证券,A股股票,1
601138,1,工业富联,sh.601138,sh,1,证券,A股股票,1
601139,1,深圳燃气,sh.601139,sh,1,证券,A股股票,1
601155,1,新城控股,sh.601155,sh,1,证券,A股股票,1
601156,1,东航物流,sh.601156,sh,1,证券,A股股票,1
601158,1,重庆水务,sh.601158,sh,1,证券,A股股票,1
601162,1,天风证券,sh.601162,sh,1,证券,A股股票,1
601163,1,三角轮胎,sh.601163,sh,1,证券,A股股票,1
601166,1,兴业银行,sh.601166,sh,1,证券,A股股票,1
601168,1,西部矿业,sh.601168,sh,1,证券,A股股票,1
601169,1,北京银行,sh.601169,sh,1,证券,A股股票,1
601177,1,杭齿前进,sh.601177,sh,1,证券,A股股票,1
601179,1,中国西电,sh.601179,sh,1,证券,A股股票,1
601186,1,中国铁建,sh.601186,sh,1,证券,A股股票,1
601187,1,厦门银行,sh.601187,sh,1,证券,A股股票,1
601188,1,龙江交通,sh.601188,sh,1,证券,A股股票,1
601198,1,东兴证券,sh.601198,sh,1,证券,A股股票,1
601199,1,江南水务,sh.601199,sh,1,证券,A股股票,1
601200,1,上海环境,sh.601200,sh,1,证券,A股股票,1
601208,1,东材科技,sh.601208,sh,1,证券,A股股票,1
601211,1,国泰君安,sh.601211,sh,1,证券,A股股票,1
601212,1,白银有色,sh.601212,sh,1,证券,A股股票,1
601216,1,君正集团,sh.601216,sh,1,证券,A股股票,1
601218,1,吉鑫科技,sh.601218,sh,1,证券,A股股票,1
601222,1,林洋能源,sh.601222,sh,1,证券,A股股票,1
601225,1,陕西煤业,sh.601225,sh,1,证券,A股股票,1
601226,1,华电重工,sh.601226,sh,1,证券,A股股票,1
601228,1,广州港,sh.601228,sh,1,证券,A股股票,1
601229,1,上海银行,sh.601229,sh,1,证券,A股股票,1
601231,1,环旭电子,sh.601231,sh,1,证券,A股股票,1
601233,1,桐昆股份,sh.601233,sh,1,证券,A股股票,1
601236,1,红塔证券,sh.601236,sh,1,证券,A股股票,1
601238,1,广汽集团,sh.601238,sh,1,证券,A股股票,1
601258,1,庞大集团,sh.601258,sh,1,证券,A股股票,1
601279,1,英利汽车,sh.601279,sh,1,证券,A股股票,1
601288,1,农业银行,sh.601288,sh,1,证券,A股股票,1
601298,1,青岛港,sh.601298,sh,1,证券,A股股票,1
601311,1,骆驼股份,sh.601311,sh,1,证券,A股股票,1
601318,1,中国平安,sh.601318,sh,1,证券,A股股票,1
601319,1,中国人保,sh.601319,sh,1,证券,A股股票,1
601326,1,秦港股份,sh.601326,sh,1,证券,A股股票,1
601328,1,交通银行,sh.601328,sh,1,证券,A股股票,1
601330,1,绿色动力,sh.601330,sh,1,证券,A股股票,1
601333,1,广深铁路,sh.601333,sh,1,证券,A股股票,1
601336,1,新华保险,sh.601336,sh,1,证券,A股股票,1
601339,1,百隆东方,sh.601339,sh,1,证券,A股股票,1
601360,1,三六零,sh.601360,sh,1,证券,A股股票,1
601366,1,利群股份,sh.601366,sh,1,证券,A股股票,1
601368,1,绿城水务,sh.601368,sh,1,证券,A股股票,1
601369,1,陕鼓动力,sh.601369,sh,1,证券,A股股票,1
601375,1,中原证券,sh.601375,sh,1,证券,A股股票,1
601377,1,兴业证券,sh.601377,sh,1,证券,A股股票,1
601388,1,怡球资源,sh.601388,sh,1,证券,A股股票,1
601390,1,中国中铁,sh.601390,sh,1,证券,A股股票,1
601398,1,工商银行,sh.601398,sh,1,证券,A股股票,1
601399,1,国机重装,sh.601399,sh,1,证券,A股股票,1
601456,1,国联证券,sh.601456,sh,1,证券,A股股票,1
601500,1,通用股份,sh.601500,sh,1,证券,A股股票,1
601512,1,中新集团,sh.601512,sh,1,证券,A股股票,1
601515,1,东风股份,sh.601515,sh,1,证券,A股股票,1
601518,1,吉林高速,sh.601518,sh,1,证券,A股股票,1
601519,1,大智慧,sh.601519,sh,1,证券,A股股票,1
601528,1,瑞丰银行,sh.601528,sh,1,证券,A股股票,1
601555,1,东吴证券,sh.601555,sh,1,证券,A股股票,1
601566,1,九牧王,sh.601566,sh,1,证券,A股股票,1
601567,1,三星医疗,sh.601567,sh,1,证券,A股股票,1
601568,1,北元集团,sh.601568,sh,1,证券,A股股票,1
601577,1,长沙银行,sh.601577,sh,1,证券,A股股票,1
601579,1,会稽山,sh.601579,sh,1,证券,A股股票,1
601588,1,北辰实业,sh.601588,sh,1,证券,A股股票,1
601595,1,上海电影,sh.601595,sh,1,证券,A股股票,1
601598,1,中国外运,sh.601598,sh,1,证券,A股股票,1
601599,1,浙文影业,sh.601599,sh,1,证券,A股股票,1
601600,1,中国铝业,sh.601600,sh,1,证券,A股股票,1
601601,1,中国太保,sh.601601,sh,1,证券,A股股票,1
601606,1,长城军工,sh.601606,sh,1,证券,A股股票,1
601607,1,上海医药,sh.601607,sh,1,证券,A股股票,1
601608,1,中信重工,sh.601608,sh,1,证券,A股股票,1
601609,1,金田股份,sh.601609,sh,1,证券,A股股票,1
601611,1,中国核建,sh.601611,sh,1,证券,A股股票,1
601615,1,明阳智能,sh.601615,sh,1,证券,A股股票,1
601616,1,广电电气,sh.601616,sh,1,证券,A股股票,1
601618,1,中国中冶,sh.601618,sh,1,证券,A股股票,1
601619,1,嘉泽新能,sh.601619,sh,1,证券,A股股票,1
601628,1,中国人寿,sh.601628,sh,1,证券,A股股票,1
601633,1,长城汽车,sh.601633,sh,1,证券,A股股票,1
601636,1,旗滨集团,sh.601636,sh,1,证券,A股股票,1
601658,1,邮储银行,sh.601658,sh,1,证券,A股股票,1
601665,1,齐鲁银行,sh.601665,sh,1,证券,A股股票,1
601666,1,平煤股份,sh.601666,sh,1,证券,A股股票,1
601668,1,中国建筑,sh.601668,sh,1,证券,A股股票,1
601669,1,中国电建,sh.601669,sh,1,证券,A股股票,1
601677,1,明泰铝业,sh.601677,sh,1,证券,A股股票,1
601678,1,滨化股份,sh.601678,sh,1,证券,A股股票,1
601686,1,友发集团,sh.601686,sh,1,证券,A股股票,1
601688,1,华泰证券,sh.601688,sh,1,证券,A股股票,1
601689,1,拓普集团,sh.601689,sh,1,证券,A股股票,1
601696,1,中银证券,sh.601696,sh,1,证券,A股股票,1
601698,1,中国卫通,sh.601698,sh,1,证券,A股股票,1
601699,1,潞安环能,sh.601699,sh,1,证券,A股股票,1
601700,1,风范股份,sh.601700,sh,1,证券,A股股票,1
601702,1,华峰铝业,sh.601702,sh,1,证券,A股股票,1
601717,1,郑煤机,sh.601717,sh,1,证券,A股股票,1
601718,1,际华集团,sh.601718,sh,1,证券,A股股票,1
601727,1,上海电气,sh.601727,sh,1,证券,A股股票,1
601728,1,中国电信,sh.601728,sh,1,证券,A股股票,1
601766,1,中国中车,sh.601766,sh,1,证券,A股股票,1
601777,1,力帆科技,sh.601777,sh,1,证券,A股股票,1
601778,1,晶科科技,sh.601778,sh,1,证券,A股股票,1
601788,1,光大证券,sh.601788,sh,1,证券,A股股票,1
601789,1,宁波建工,sh.601789,sh,1,证券,A股股票,1
601798,1,蓝科高新,sh.601798,sh,1,证券,A股股票,1
601799,1,星宇股份,sh.601799,sh,1,证券,A股股票,1
601800,1,中国交建,sh.601800,sh,1,证券,A股股票,1
601801,1,皖新传媒,sh.601801,sh,1,证券,A股股票,1
601808,1,中海油服,sh.601808,sh,1,证券,A股股票,1
601811,1,新华文轩,sh.601811,sh,1,证券,A股股票,1
601816,1,京沪高铁,sh.601816,sh,1,证券,A股股票,1
601818,1,光大银行,sh.601818,sh,1,证券,A股股票,1
601825,1,沪农商行,sh.601825,sh,1,证券,A股股票,1
601827,1,三峰环境,sh.601827,sh,1,证券,A股股票,1
601828,1,美凯龙,sh.601828,sh,1,证券,A股股票,1
601838,1,成都银行,sh.601838,sh,1,证券,A股股票,1
601857,1,中国石油,sh.601857,sh,1,证券,A股股票,1
601858,1,中国科传,sh.601858,sh,1,证券,A股股票,1
601860,1,紫金银行,sh.601860,sh,1,证券,A股股票,1
601865,1,福莱特,sh.601865,sh,1,证券,A股股票,1
601866,1,中远海发,sh.601866,sh,1,证券,A股股票,1
601868,1,中国能建,sh.601868,sh,1,证券,A股股票,1
601869,1,长飞光纤,sh.601869,sh,1,证券,A股股票,1
601872,1,招商轮船,sh.601872,sh,1,证券,A股股票,1
601877,1,正泰电器,sh.601877,sh,1,证券,A股股票,1
601878,1,浙商证券,sh.601878,sh,1,证券,A股股票,1
601880,1,辽港股份,sh.601880,sh,1,证券,A股股票,1
601881,1,中国银河,sh.601881,sh,1,证券,A股股票,1
601882,1,海天精工,sh.601882,sh,1,证券,A股股票,1
